horizon,model,n_test,adv_valid_pct,median_reach_km,om_mae,mae_base,mae_cohort,mae_adv,d_adv_vs_base,d_adv_lo,d_adv_hi,d_cohort_vs_base,d_coh_lo,d_coh_hi,d_adv_vs_cohort,d_vs_lo,d_vs_hi
1,linear,273,64.5,7.4,0.9457,0.4963,0.5669,0.4994,-0.0027,-0.0138,0.0092,-0.0691,-0.1391,-0.0091,0.0656,0.0062,0.1317
1,xgboost,273,64.5,7.4,0.9457,0.4477,0.561,0.4561,-0.008,-0.0251,0.0104,-0.1141,-0.2114,-0.0311,0.1065,0.0205,0.2048
3,linear,272,61.8,22.0,0.9629,0.773,0.7853,0.7558,0.017,-0.0095,0.0447,-0.0116,-0.0774,0.0482,0.0297,-0.0238,0.0924
3,xgboost,272,61.8,22.0,0.9629,0.8193,0.8129,0.8188,0.0009,-0.0272,0.0303,0.0057,-0.042,0.0511,-0.0067,-0.0561,0.0429
6,linear,272,61.0,45.5,1.0342,0.9155,1.0065,0.9003,0.0159,-0.0198,0.0518,-0.0906,-0.1626,-0.0245,0.1051,0.0383,0.1737
6,xgboost,272,61.0,45.5,1.0342,0.9924,0.9707,1.0228,-0.0306,-0.0575,-0.004,0.0215,-0.007,0.0527,-0.0513,-0.0902,-0.0122
12,linear,271,36.2,92.4,1.144,1.0724,1.0694,1.0332,0.039,0.0193,0.0564,0.0038,-0.0509,0.0561,0.0376,-0.0144,0.0922
12,xgboost,271,36.2,92.4,1.144,1.0719,1.0996,1.0528,0.0196,-0.0049,0.0448,-0.0282,-0.061,0.0069,0.0463,0.0134,0.0814
24,linear,256,9.8,192.7,1.3907,1.4101,1.4064,1.4677,-0.0575,-0.0719,-0.0438,0.0021,-0.0366,0.0401,-0.0603,-0.1008,-0.0189
24,xgboost,256,9.8,192.7,1.3907,1.4635,1.3721,1.4362,0.0277,-0.0007,0.0558,0.0912,0.0585,0.1239,-0.065,-0.1023,-0.0297
