target,horizon,frac,n_train,model,mae,rmse,openmeteo_mae,skill_vs_om,n_test
temp_c,3,0.05,11527,linear,26.1771,33.5246,1.4558,-16.9808,57640
temp_c,3,0.05,11527,randomforest,1.9427,2.6759,1.4558,-0.3345,57640
temp_c,3,0.05,11527,xgboost,1.8525,2.5456,1.4558,-0.2724,57640
temp_c,3,0.1,23055,linear,1.8945,2.3417,1.4558,-0.3013,57640
temp_c,3,0.1,23055,randomforest,1.9383,2.6675,1.4558,-0.3314,57640
temp_c,3,0.1,23055,xgboost,1.8481,2.5563,1.4558,-0.2695,57640
temp_c,3,0.25,57639,linear,3.057,3.6405,1.4558,-1.0998,57640
temp_c,3,0.25,57639,randomforest,1.3507,1.7709,1.4558,0.0722,57640
temp_c,3,0.25,57639,xgboost,1.5057,1.8957,1.4558,-0.0342,57640
temp_c,3,0.5,115279,linear,1.6639,2.055,1.4558,-0.1429,57640
temp_c,3,0.5,115279,randomforest,1.3227,1.7251,1.4558,0.0915,57640
temp_c,3,0.5,115279,xgboost,1.2165,1.5805,1.4558,0.1644,57640
temp_c,3,0.75,172918,linear,1.2159,1.5745,1.4558,0.1648,57640
temp_c,3,0.75,172918,randomforest,1.2989,1.6989,1.4558,0.1078,57640
temp_c,3,0.75,172918,xgboost,1.1296,1.4658,1.4558,0.2241,57640
temp_c,3,1.0,230558,linear,1.2235,1.592,1.4558,0.1596,57640
temp_c,3,1.0,230558,randomforest,1.3279,1.748,1.4558,0.0879,57640
temp_c,3,1.0,230558,xgboost,1.1414,1.4777,1.4558,0.216,57640
