target,horizon,sample,frac,n_train,span_days,model,mae,rmse,openmeteo_mae,skill_vs_om,n_test
temp_c,3,random,0.05,11527,44.25,linear,1.2434,1.616,1.4557,0.1458,57640
temp_c,3,random,0.05,11527,44.25,randomforest,1.2214,1.614,1.4557,0.1609,57640
temp_c,3,random,0.05,11527,44.25,xgboost,1.1618,1.5104,1.4557,0.2019,57640
temp_c,3,random,0.1,23055,44.25,linear,1.2326,1.605,1.4557,0.1532,57640
temp_c,3,random,0.1,23055,44.25,randomforest,1.2829,1.6888,1.4557,0.1187,57640
temp_c,3,random,0.1,23055,44.25,xgboost,1.1523,1.4939,1.4557,0.2084,57640
temp_c,3,random,0.25,57639,44.25,linear,1.2284,1.5996,1.4557,0.1561,57640
temp_c,3,random,0.25,57639,44.25,randomforest,1.2836,1.6982,1.4557,0.1182,57640
temp_c,3,random,0.25,57639,44.25,xgboost,1.1565,1.4904,1.4557,0.2055,57640
temp_c,3,random,0.5,115279,44.25,linear,1.2261,1.5957,1.4557,0.1577,57640
temp_c,3,random,0.5,115279,44.25,randomforest,1.2985,1.7232,1.4557,0.108,57640
temp_c,3,random,0.5,115279,44.25,xgboost,1.1269,1.4627,1.4557,0.2258,57640
temp_c,3,random,0.75,172919,44.25,linear,1.225,1.594,1.4557,0.1585,57640
temp_c,3,random,0.75,172919,44.25,randomforest,1.2899,1.7024,1.4557,0.1139,57640
temp_c,3,random,0.75,172919,44.25,xgboost,1.1329,1.4678,1.4557,0.2217,57640
temp_c,3,random,1.0,230559,44.25,linear,1.2234,1.5919,1.4557,0.1596,57640
temp_c,3,random,1.0,230559,44.25,randomforest,1.3155,1.733,1.4557,0.0963,57640
temp_c,3,random,1.0,230559,44.25,xgboost,1.1351,1.4703,1.4557,0.2202,57640
