label,target,horizon,model,n_train,n_test,n_net_features,mae_base,rmse_base,mae_net,rmse_net,delta_mae,openmeteo_mae,openmeteo_rmse,skill_base,skill_net,delta_mae_mean,delta_mae_lo,delta_mae_hi,p_improves
n=1_band25,temp_c,1,linear,574,144,47,0.6497919003343013,0.8227097481724359,0.5519536780412051,0.7245816871252335,0.09783822229309624,0.9952952437387703,1.2919623444921144,0.36320918974163074,0.4391619150401206,0.09898822176724711,0.04383926316597269,0.14931154904227745,1.0
n=1_band25,temp_c,1,xgboost,574,144,47,0.6822579441677069,1.0442450672937393,0.733300031322131,1.1709657983498534,-0.05104208715442404,0.9952952437387703,1.2919623444921144,0.19173722690482564,0.09365330704729347,-0.05224927078936697,-0.12075121060041753,0.011605525210416254,0.058
n=1_band25,temp_c,3,linear,574,144,47,1.104852772709674,1.2894734285924276,0.8950434791509159,1.1034053225766458,0.2098092935587581,0.9952952437387703,1.2919623444921144,0.0019264616420885394,0.14594622104841037,0.20901680993253616,0.12649026787311057,0.2939657663247081,1.0
n=1_band25,temp_c,3,xgboost,574,144,47,0.9812679405172356,1.3431931954683902,1.0929861486874421,1.5268966426913975,-0.1117182081702065,0.9952952437387703,1.2919623444921144,-0.039653517143655836,-0.18184299194233744,-0.11418668988644523,-0.2100550821670485,-0.02684894663522028,0.006
n=1_band25,temp_c,24,linear,574,144,47,1.1419727680734872,1.329113742565594,1.3165515976564985,1.515210602678431,-0.1745788295830113,0.9952952437387703,1.2919623444921144,-0.02875579016049734,-0.1727978057085542,-0.17474020786768812,-0.27809842201798723,-0.08471118700513625,0.0
n=1_band25,temp_c,24,xgboost,574,144,47,0.9999941824874775,1.3242826880706726,1.1507920840945305,1.4931271082961695,-0.15079790160705298,0.9952952437387703,1.2919623444921144,-0.025016474912249675,-0.15570481961928628,-0.15341451768619097,-0.2411727694608612,-0.06432015844376908,0.0
n=1_band25,rain_mm_1h,1,linear,574,144,47,0.3302554072138525,0.39652038754939756,0.4306916935748264,0.5673120808623129,-0.1004362863609739,0.0,0.0,,,-0.09806596271620727,-0.16129631923720428,-0.0361274380147409,0.002
n=1_band25,rain_mm_1h,1,xgboost,574,144,47,0.02726502754618802,0.18309997343500692,0.018656513476243062,0.06201025782618937,0.008608514069944957,0.0,0.0,,,0.008688002280203768,-0.014685889874595483,0.041810525876614185,0.67
n=1_band25,rain_mm_1h,3,linear,574,144,47,0.6241907764114147,0.8135147169197796,0.6062996906780846,0.7766410343678919,0.017891085733330092,0.0,0.0,,,0.019707102939572216,-0.09035414534611663,0.11684082764045803,0.644
n=1_band25,rain_mm_1h,3,xgboost,574,144,47,0.007254199266955968,0.011185314078883,0.009165214022282776,0.01852879875484669,-0.001911014755326808,0.0,0.0,,,-0.0019402306434169278,-0.005289069289074177,0.0006657603113303078,0.064
n=1_band25,rain_mm_1h,24,linear,574,144,47,0.47281708044732984,0.5911886263526834,0.6304857268250923,0.9412361321676653,-0.15766864637776246,0.0,0.0,,,-0.154713748446659,-0.2839144058793768,-0.03854861323073804,0.002
n=1_band25,rain_mm_1h,24,xgboost,574,144,47,0.02948898159825654,0.08365699619553392,0.0430014462769274,0.09616000311545432,-0.013512464678670864,0.0,0.0,,,-0.013128058892294575,-0.032192274886378734,0.007019708518589595,0.07
n=3_band25,temp_c,1,linear,574,144,47,0.6497919003343013,0.8227097481724359,0.5501982744294911,0.7273274241046752,0.09959362590481025,0.9952952437387703,1.2919623444921144,0.36320918974163074,0.43703666967894783,0.10021430351090324,0.0377357947555938,0.15881147651784353,1.0
n=3_band25,temp_c,1,xgboost,574,144,47,0.6822579441677069,1.0442450672937393,0.725512487875951,1.147677029166291,-0.04325454370824411,0.9952952437387703,1.2919623444921144,0.19173722690482564,0.11167919555932859,-0.04378147206801343,-0.12053143255997302,0.029880947390106865,0.124
n=3_band25,temp_c,3,linear,574,144,47,1.104852772709674,1.2894734285924276,0.8689057633972893,1.066747433708221,0.23594700931238466,0.9952952437387703,1.2919623444921144,0.0019264616420885394,0.17432002700700078,0.23570760164029,0.13710564512711135,0.33713982457707536,1.0
n=3_band25,temp_c,3,xgboost,574,144,47,0.9812679405172356,1.3431931954683902,1.0471241306356485,1.4569895457054685,-0.06585619011841282,0.9952952437387703,1.2919623444921144,-0.039653517143655836,-0.12773375471575998,-0.06855786153852632,-0.16135202941079602,0.014062699478000196,0.07
n=3_band25,temp_c,24,linear,574,144,47,1.1419727680734872,1.329113742565594,1.3310432164401342,1.5333884549103274,-0.189070448366647,0.9952952437387703,1.2919623444921144,-0.02875579016049734,-0.1868677608503524,-0.1892043832213313,-0.30120038304831953,-0.0878763670347576,0.0
n=3_band25,temp_c,24,xgboost,574,144,47,0.9999941824874775,1.3242826880706726,1.2002927763893458,1.5277764325025347,-0.20029859390186833,0.9952952437387703,1.2919623444921144,-0.025016474912249675,-0.1825239636555518,-0.20245799801650363,-0.2732685380113315,-0.13515302430326132,0.0
n=3_band25,rain_mm_1h,1,linear,574,144,47,0.3302554072138525,0.39652038754939756,0.6544774293143311,0.9265598711139907,-0.32422202210047857,0.0,0.0,,,-0.32203630292343505,-0.41852231690955666,-0.22868464710976638,0.0
n=3_band25,rain_mm_1h,1,xgboost,574,144,47,0.02726502754618802,0.18309997343500692,0.010629887537409862,0.03271530884592284,0.01663514000877816,0.0,0.0,,,0.016735087566629066,-0.0027368377209818903,0.049573949541566735,0.912
n=3_band25,rain_mm_1h,3,linear,574,144,47,0.6241907764114147,0.8135147169197796,0.6277105001284601,0.8577320579197766,-0.003519723717045342,0.0,0.0,,,-0.002655939294850734,-0.11237796290569096,0.09808255320109818,0.498
n=3_band25,rain_mm_1h,3,xgboost,574,144,47,0.007254199266955968,0.011185314078883,0.007461158704548628,0.013066332451895507,-0.00020695943759265964,0.0,0.0,,,-0.00021390402001209924,-0.002309760774250612,0.001981183639418303,0.44
n=3_band25,rain_mm_1h,24,linear,574,144,47,0.47281708044732984,0.5911886263526834,0.621288238033062,0.8868145372442622,-0.14847115758573215,0.0,0.0,,,-0.14684301947418207,-0.27022731235885195,-0.031079014162911648,0.0
n=3_band25,rain_mm_1h,24,xgboost,574,144,47,0.02948898159825654,0.08365699619553392,0.047765896324158855,0.11954951972090222,-0.018276914725902316,0.0,0.0,,,-0.018349701091275466,-0.0358770990417775,-0.002621751197290857,0.008
n=5_band25,temp_c,1,linear,574,144,47,0.6497919003343013,0.8227097481724359,0.5332075260578519,0.7199974468093828,0.11658437427644941,0.9952952437387703,1.2919623444921144,0.36320918974163074,0.44271019207419526,0.11662488570168672,0.0563028014694186,0.17592486837885674,1.0
